tweet_id,created_at,date,hour,weekday,username,platform,country,tweet_text_raw,text_clean,likes,retweets,sentiment_score,sentiment
449211727471646420,2023-01-13 00:35:08,2023-01-13,0,Friday,werickson,Twitter,Unknown,Feeling grateful for my friends and family.,feeling grateful for my friends and family,156.0,489.0,0.0,Neutral
519036665081652813,2023-02-16 06:24:30,2023-02-16,6,Thursday,jennybutler,Twitter,Unknown,Going for a walk in the park.,going for a walk in the park,223.0,788.0,0.0,Neutral
776023316169815671,2023-01-24 18:12:37,2023-01-24,18,Tuesday,william88,Twitter,Unknown,I hate it when things don't go my way.,i hate it when things don t go my way,332.0,860.0,-0.5,Negative
674750468135750054,2023-02-09 07:14:24,2023-02-09,7,Thursday,lawrencebauer,Twitter,Unknown,I hate it when things don't go my way.,i hate it when things don t go my way,388.0,881.0,-0.5,Negative
859726107390311299,2023-02-28 06:55:54,2023-02-28,6,Tuesday,gerald07,Twitter,Unknown,This is the best day ever!,this is the best day ever,255.0,567.0,0.5,Positive
550892893360897328,2023-02-22 18:44:04,2023-02-22,18,Wednesday,cardenastaylor,Twitter,Unknown,Feeling grateful for my friends and family.,feeling grateful for my friends and family,66.0,665.0,0.0,Neutral
699924169697555678,2023-04-05 19:12:52,2023-04-05,19,Wednesday,hmoore,Twitter,Unknown,Feeling grateful for my friends and family.,feeling grateful for my friends and family,426.0,973.0,0.0,Neutral
588788854848195864,2023-04-27 03:14:54,2023-04-27,3,Thursday,nvillanueva,Twitter,Unknown,Feeling disappointed in myself.,feeling disappointed in myself,936.0,434.0,-0.5,Negative
662452098664103309,2023-02-25 01:05:38,2023-02-25,1,Saturday,saracooper,Twitter,Unknown,Just had lunch with a friend.,just had lunch with a friend,362.0,332.0,0.0,Neutral
684099235850150906,2023-02-02 19:19:53,2023-02-02,19,Thursday,alexander53,Twitter,Unknown,Feeling grateful for my friends and family.,feeling grateful for my friends and family,424.0,163.0,0.0,Neutral
776765154260248110,2023-02-17 17:02:25,2023-02-17,17,Friday,honicholas,Twitter,Unknown,I'm so upset right now.,i m so upset right now,897.0,455.0,0.0,Neutral
358643348910237407,2023-03-05 15:40:48,2023-03-05,15,Sunday,ywhite,Twitter,Unknown,I love my life!,i love my life,634.0,396.0,0.5,Positive
117185747854291890,2023-02-13 16:20:18,2023-02-13,16,Monday,mark56,Twitter,Unknown,I'm so upset right now.,i m so upset right now,381.0,348.0,0.0,Neutral
438247606942835271,2023-01-31 23:08:52,2023-01-31,23,Tuesday,nhale,Twitter,Unknown,This is the best day ever!,this is the best day ever,908.0,729.0,0.5,Positive
901927716357804393,2023-03-19 03:42:02,2023-03-19,3,Sunday,rickysmith,Twitter,Unknown,Going for a walk in the park.,going for a walk in the park,243.0,397.0,0.0,Neutral
299674329971381313,2023-04-03 14:02:20,2023-04-03,14,Monday,qcarrillo,Twitter,Unknown,I'm so upset right now.,i m so upset right now,864.0,580.0,0.0,Neutral
445909472130320485,2023-02-06 13:15:46,2023-02-06,13,Monday,srasmussen,Twitter,Unknown,This is the best day ever!,this is the best day ever,534.0,448.0,0.5,Positive
641460688824236393,2023-02-01 17:15:47,2023-02-01,17,Wednesday,schroederdonald,Twitter,Unknown,I'm so upset right now.,i m so upset right now,426.0,535.0,0.0,Neutral
735195476422297653,2023-03-14 22:28:44,2023-03-14,22,Tuesday,ferrelljoseph,Twitter,Unknown,Feeling disappointed in myself.,feeling disappointed in myself,847.0,386.0,-0.5,Negative
663322488762426526,2023-01-14 04:03:43,2023-01-14,4,Saturday,acortez,Twitter,Unknown,I'm so upset right now.,i m so upset right now,445.0,467.0,0.0,Neutral
441066682092594552,2023-01-15 15:03:40,2023-01-15,15,Sunday,ohorton,Twitter,Unknown,Feeling disappointed in myself.,feeling disappointed in myself,846.0,606.0,-0.5,Negative
768253902703230346,2023-04-10 04:18:10,2023-04-10,4,Monday,william02,Twitter,Unknown,Just had lunch with a friend.,just had lunch with a friend,155.0,622.0,0.0,Neutral
941562807602482757,2023-01-08 21:44:22,2023-01-08,21,Sunday,thomasrodriguez,Twitter,Unknown,I'm so upset right now.,i m so upset right now,355.0,564.0,0.0,Neutral
342589526754894351,2023-03-01 07:38:17,2023-03-01,7,Wednesday,bryanclark,Twitter,Unknown,Feeling disappointed in myself.,feeling disappointed in myself,399.0,900.0,-0.5,Negative
526043740201558546,2023-03-31 15:49:29,2023-03-31,15,Friday,grantamy,Twitter,Unknown,Feeling grateful for my friends and family.,feeling grateful for my friends and family,164.0,817.0,0.0,Neutral
689544404035305652,2023-01-27 15:50:43,2023-01-27,15,Friday,christopherjohnson,Twitter,Unknown,Feeling disappointed in myself.,feeling disappointed in myself,126.0,713.0,-0.5,Negative
460029211104675837,2023-04-27 05:33:21,2023-04-27,5,Thursday,clinecorey,Twitter,Unknown,I'm so upset right now.,i m so upset right now,424.0,345.0,0.0,Neutral
420780432982244874,2023-04-15 02:15:31,2023-04-15,2,Saturday,bishopstacy,Twitter,Unknown,Feeling grateful for my friends and family.,feeling grateful for my friends and family,736.0,981.0,0.0,Neutral
418629515447451105,2023-04-03 02:10:42,2023-04-03,2,Monday,robertjohnson,Twitter,Unknown,I hate it when things don't go my way.,i hate it when things don t go my way,265.0,480.0,-0.5,Negative
888360491501223330,2023-02-28 03:22:38,2023-02-28,3,Tuesday,cartermegan,Twitter,Unknown,Going for a walk in the park.,going for a walk in the park,827.0,824.0,0.0,Neutral
765060963165933837,2023-02-04 18:52:08,2023-02-04,18,Saturday,brucevasquez,Twitter,Unknown,Watching a movie tonight.,watching a movie tonight,380.0,676.0,0.0,Neutral
310832653837715605,2023-02-16 12:18:21,2023-02-16,12,Thursday,christineponce,Twitter,Unknown,I'm so upset right now.,i m so upset right now,781.0,438.0,0.0,Neutral
