source,target,travel_time_min,route_type
s1,s9,13,Shuttle
s1,s6,4,Shuttle
s3,s6,11,Express
s3,s8,15,Shuttle
s5,s8,8,Metro
s16,s19,13,Express
s16,s20,13,Shuttle
s12,s20,12,Metro
s12,s18,5,Express
s11,s18,15,Metro
s22,s26,15,Express
s22,s27,6,Metro
s27,s28,6,Shuttle
s24,s28,4,Metro
s23,s24,14,Express
s31,s38,6,Shuttle
s35,s38,15,Shuttle
s35,s37,14,Metro
s34,s37,14,Express
s34,s36,9,Shuttle
s43,s44,12,Shuttle
s44,s45,6,Shuttle
s45,s47,6,Metro
s47,s50,4,Shuttle
s42,s50,13,Metro
s15,s5,6,Express
s33,s5,12,Express
s32,s43,11,Shuttle
s47,s9,20,Metro
s27,s31,11,Metro
s43,s7,18,Express
s30,s47,6,Shuttle
s4,s7,17,Shuttle
s22,s7,12,Metro
s13,s35,19,Metro
s12,s28,13,Express
s16,s5,19,Shuttle
s35,s42,5,Metro
s16,s49,10,Express
s31,s32,11,Express
s11,s4,17,Metro
s17,s25,19,Express
s28,s45,20,Metro
s13,s19,11,Metro
s38,s48,6,Shuttle
s21,s4,6,Shuttle
s31,s33,10,Metro
s33,s6,10,Metro
s39,s5,12,Express
s37,s8,12,Shuttle
