id,station_name,district,daily_passengers,station_type
s1,Station 1,Central,704,Transfer
s2,Station 2,Central,2506,Transfer
s3,Station 3,Central,1339,Local
s4,Station 4,Central,4967,Transfer
s5,Station 5,Central,3956,Local
s6,Station 6,Central,1267,Local
s7,Station 7,Central,4639,Local
s8,Station 8,Central,2128,Transfer
s9,Station 9,Central,4964,Transfer
s10,Station 10,Central,4179,Local
s11,Station 11,North,553,Local
s12,Station 12,North,1807,Transfer
s13,Station 13,North,3287,Transfer
s14,Station 14,North,2263,Local
s15,Station 15,North,3257,Terminal
s16,Station 16,North,3612,Local
s17,Station 17,North,3317,Local
s18,Station 18,North,855,Transfer
s19,Station 19,North,4892,Transfer
s20,Station 20,North,3600,Local
s21,Station 21,South,2901,Local
s22,Station 22,South,3462,Transfer
s23,Station 23,South,1069,Local
s24,Station 24,South,2366,Local
s25,Station 25,South,1153,Transfer
s26,Station 26,South,1327,Transfer
s27,Station 27,South,4214,Local
s28,Station 28,South,3488,Transfer
s29,Station 29,South,3410,Local
s30,Station 30,South,2687,Local
s31,Station 31,East,1084,Transfer
s32,Station 32,East,1901,Transfer
s33,Station 33,East,2505,Local
s34,Station 34,East,3608,Local
s35,Station 35,East,2299,Local
s36,Station 36,East,958,Transfer
s37,Station 37,East,762,Local
s38,Station 38,East,3786,Transfer
s39,Station 39,East,2228,Local
s40,Station 40,East,3077,Terminal
s41,Station 41,West,4589,Local
s42,Station 42,West,4258,Local
s43,Station 43,West,1643,Local
s44,Station 44,West,4915,Local
s45,Station 45,West,4009,Local
s46,Station 46,West,3771,Transfer
s47,Station 47,West,1633,Local
s48,Station 48,West,1244,Local
s49,Station 49,West,1398,Transfer
s50,Station 50,West,1810,Local
