date,day,source,target,amount_usd,transaction_type,transaction_count
2026-01-01,1,c05,c06,27464,shipping,3
2026-01-01,1,c04,c09,23068,goods,1
2026-01-01,1,c05,c09,38109,components,5
2026-01-01,1,c08,c11,32779,shipping,2
2026-01-01,1,c02,c03,14562,goods,1
2026-01-01,1,c01,c09,15115,services,4
2026-01-01,1,c06,c12,41014,services,1
2026-01-01,1,c04,c11,8543,shipping,3
2026-01-01,1,c07,c10,7751,goods,5
2026-01-01,1,c09,c12,32227,goods,5
2026-01-01,1,c03,c08,8978,components,4
2026-01-02,2,c01,c07,30364,goods,3
2026-01-02,2,c01,c12,35031,services,4
2026-01-02,2,c03,c12,5667,materials,1
2026-01-02,2,c01,c06,11660,components,5
2026-01-02,2,c05,c09,8017,goods,4
2026-01-02,2,c08,c11,25130,materials,5
2026-01-02,2,c07,c10,2046,goods,4
2026-01-02,2,c01,c02,11596,goods,1
2026-01-02,2,c04,c11,17722,goods,4
2026-01-02,2,c09,c12,9435,materials,4
2026-01-02,2,c03,c08,8757,shipping,2
2026-01-03,3,c01,c07,20850,materials,2
2026-01-03,3,c08,c10,3199,services,4
2026-01-03,3,c05,c07,6636,goods,1
2026-01-03,3,c05,c09,11261,goods,1
2026-01-03,3,c02,c10,45164,goods,5
2026-01-03,3,c08,c11,15371,goods,4
2026-01-03,3,c01,c02,12836,goods,4
2026-01-03,3,c04,c11,20599,materials,4
2026-01-03,3,c06,c12,36899,materials,2
2026-01-03,3,c02,c03,44595,materials,3
2026-01-03,3,c07,c10,20580,goods,5
2026-01-03,3,c03,c08,23199,components,2
2026-01-04,4,c01,c07,15901,services,5
2026-01-04,4,c03,c12,38767,services,5
2026-01-04,4,c01,c06,5733,services,1
2026-01-04,4,c02,c05,49223,services,1
2026-01-04,4,c08,c11,43907,shipping,3
2026-01-04,4,c07,c10,12547,components,1
2026-01-04,4,c04,c11,46429,services,5
2026-01-04,4,c02,c11,40200,materials,1
2026-01-04,4,c09,c12,48030,components,1
2026-01-05,5,c01,c07,7753,goods,1
2026-01-05,5,c01,c03,38087,materials,5
2026-01-05,5,c05,c11,48842,goods,2
2026-01-05,5,c05,c09,33564,shipping,5
2026-01-05,5,c09,c11,39211,components,3
2026-01-05,5,c08,c11,32721,shipping,2
2026-01-05,5,c05,c10,33851,services,4
2026-01-05,5,c03,c11,39067,materials,5
2026-01-05,5,c01,c02,14820,materials,1
2026-01-05,5,c04,c11,15873,services,3
2026-01-05,5,c01,c09,44168,components,3
2026-01-05,5,c06,c12,44222,materials,2
2026-01-05,5,c03,c08,34972,services,3
2026-01-06,6,c05,c06,30311,services,5
2026-01-06,6,c02,c05,42417,materials,4
2026-01-06,6,c05,c09,8698,materials,5
2026-01-06,6,c08,c11,25313,materials,4
2026-01-06,6,c02,c03,27080,shipping,4
2026-01-06,6,c04,c11,27446,services,4
2026-01-06,6,c01,c09,42079,components,1
2026-01-06,6,c07,c10,40975,components,3
2026-01-06,6,c01,c05,30747,services,4
2026-01-06,6,c03,c05,46606,services,1
2026-01-06,6,c10,c11,39773,goods,4
2026-01-06,6,c09,c12,23666,components,3
2026-01-06,6,c03,c08,41174,goods,3
2026-01-07,7,c01,c07,17181,shipping,5
2026-01-07,7,c08,c10,4333,materials,1
2026-01-07,7,c07,c11,42041,materials,1
2026-01-07,7,c05,c06,7951,goods,1
2026-01-07,7,c02,c09,49555,components,4
2026-01-07,7,c01,c02,32651,components,4
2026-01-07,7,c04,c11,37239,goods,2
2026-01-07,7,c01,c09,35407,components,5
2026-01-07,7,c02,c03,17112,services,1
2026-01-07,7,c06,c12,45439,services,2
2026-01-07,7,c09,c12,13731,services,2
2026-01-07,7,c03,c08,20178,components,3
2026-01-08,8,c01,c07,19258,components,4
2026-01-08,8,c04,c05,25952,components,2
2026-01-08,8,c06,c09,3939,goods,1
2026-01-08,8,c05,c09,38500,shipping,5
2026-01-08,8,c08,c11,3646,materials,1
2026-01-08,8,c01,c02,15496,materials,2
2026-01-08,8,c04,c11,41441,materials,2
2026-01-08,8,c01,c09,21979,components,2
2026-01-08,8,c02,c03,9648,components,4
2026-01-08,8,c06,c12,40966,services,4
2026-01-08,8,c07,c10,13840,materials,4
2026-01-08,8,c02,c06,28814,shipping,2
2026-01-08,8,c09,c12,3954,goods,1
2026-01-08,8,c03,c08,13142,goods,3
2026-01-09,9,c05,c06,3004,shipping,3
2026-01-09,9,c05,c09,19657,materials,2
2026-01-09,9,c08,c11,29046,components,3
2026-01-09,9,c07,c10,13388,goods,5
2026-01-09,9,c02,c03,45131,materials,2
2026-01-09,9,c01,c09,48534,goods,1
2026-01-09,9,c03,c09,48089,materials,4
2026-01-09,9,c05,c12,15844,materials,2
2026-01-09,9,c02,c06,10090,components,1
2026-01-09,9,c03,c08,24263,components,2
2026-01-10,10,c01,c07,48511,components,5
2026-01-10,10,c05,c06,36208,shipping,4
2026-01-10,10,c02,c08,28132,materials,4
2026-01-10,10,c05,c09,3633,shipping,2
2026-01-10,10,c08,c11,4435,services,2
2026-01-10,10,c01,c02,27732,materials,1
2026-01-10,10,c04,c11,8263,services,2
2026-01-10,10,c01,c09,36333,services,3
2026-01-10,10,c02,c03,41600,services,5
2026-01-10,10,c07,c10,35967,shipping,2
2026-01-10,10,c03,c09,21785,materials,2
2026-01-10,10,c09,c12,6376,services,1
2026-01-10,10,c03,c08,6698,goods,4
2026-01-11,11,c01,c07,36665,services,1
2026-01-11,11,c05,c06,21721,components,1
2026-01-11,11,c05,c09,30810,materials,2
2026-01-11,11,c08,c11,30256,components,1
2026-01-11,11,c02,c04,3794,components,4
2026-01-11,11,c02,c03,22766,components,3
2026-01-11,11,c01,c05,3882,components,3
2026-01-11,11,c09,c12,25479,goods,2
2026-01-11,11,c03,c08,42969,goods,4
2026-01-12,12,c01,c07,30278,materials,3
2026-01-12,12,c04,c10,42942,components,1
2026-01-12,12,c05,c09,4780,goods,5
2026-01-12,12,c01,c02,49879,shipping,4
2026-01-12,12,c01,c09,35342,components,1
2026-01-12,12,c06,c12,18346,materials,3
2026-01-12,12,c01,c08,32164,services,3
2026-01-12,12,c09,c12,28270,services,5
2026-01-13,13,c01,c07,25150,services,1
2026-01-13,13,c04,c08,12397,materials,2
2026-01-13,13,c05,c06,29726,materials,4
2026-01-13,13,c06,c09,14282,goods,5
2026-01-13,13,c05,c09,38135,goods,5
2026-01-13,13,c08,c11,40842,materials,2
2026-01-13,13,c03,c06,48054,shipping,5
2026-01-13,13,c01,c02,38641,shipping,2
2026-01-13,13,c04,c11,28299,goods,2
2026-01-13,13,c02,c03,35260,goods,3
2026-01-13,13,c07,c10,14749,shipping,4
2026-01-13,13,c03,c09,3339,goods,5
2026-01-13,13,c03,c08,47244,materials,4
2026-01-14,14,c01,c07,42128,shipping,2
2026-01-14,14,c05,c06,6556,goods,4
2026-01-14,14,c01,c02,25122,services,1
2026-01-14,14,c04,c11,18798,components,4
2026-01-14,14,c01,c09,34633,components,3
2026-01-14,14,c02,c03,47847,goods,4
2026-01-14,14,c06,c12,30882,goods,2
2026-01-14,14,c07,c12,4942,components,1
2026-01-14,14,c09,c12,2509,goods,3
2026-01-14,14,c03,c08,32449,materials,1
2026-01-15,15,c01,c07,41501,components,1
2026-01-15,15,c05,c06,29795,goods,4
2026-01-15,15,c04,c10,26128,components,2
2026-01-15,15,c05,c09,8717,services,5
2026-01-15,15,c09,c11,38461,shipping,1
2026-01-15,15,c03,c06,47165,components,4
2026-01-15,15,c01,c02,14546,components,1
2026-01-15,15,c04,c11,26326,components,1
2026-01-15,15,c01,c09,4911,services,1
2026-01-15,15,c06,c12,5005,shipping,5
2026-01-15,15,c02,c03,25218,goods,1
2026-01-15,15,c04,c06,33965,shipping,4
2026-01-15,15,c09,c12,43948,components,2
2026-01-15,15,c03,c08,8789,components,4
2026-01-16,16,c05,c06,34332,services,4
2026-01-16,16,c06,c09,46404,services,5
2026-01-16,16,c05,c09,37907,shipping,4
2026-01-16,16,c07,c08,26675,services,3
2026-01-16,16,c08,c11,48153,shipping,5
2026-01-16,16,c01,c02,33020,components,2
2026-01-16,16,c04,c11,20264,materials,2
2026-01-16,16,c01,c09,33856,services,5
2026-01-16,16,c06,c12,22788,services,1
2026-01-16,16,c07,c10,8390,components,5
2026-01-16,16,c03,c10,27984,shipping,5
2026-01-16,16,c03,c08,18179,materials,5
2026-01-17,17,c01,c07,28263,goods,5
2026-01-17,17,c05,c06,24055,goods,5
2026-01-17,17,c06,c10,43102,materials,5
2026-01-17,17,c08,c11,21133,components,5
2026-01-17,17,c01,c02,25518,shipping,4
2026-01-17,17,c01,c09,43768,materials,1
2026-01-17,17,c02,c03,5633,shipping,4
2026-01-17,17,c03,c10,15653,goods,5
2026-01-17,17,c03,c08,30052,goods,2
2026-01-18,18,c01,c07,34164,goods,3
2026-01-18,18,c05,c06,29447,goods,3
2026-01-18,18,c05,c09,35227,components,5
2026-01-18,18,c06,c10,34871,goods,3
2026-01-18,18,c08,c11,8760,shipping,1
2026-01-18,18,c01,c02,35357,goods,2
2026-01-18,18,c04,c11,5982,materials,4
2026-01-18,18,c02,c03,38054,services,3
2026-01-18,18,c06,c12,31314,materials,4
2026-01-18,18,c07,c10,8321,components,4
2026-01-18,18,c03,c09,24064,services,2
2026-01-18,18,c10,c11,20845,shipping,3
2026-01-18,18,c09,c12,16633,goods,2
2026-01-18,18,c03,c08,11682,services,4
2026-01-19,19,c01,c07,14102,services,4
2026-01-19,19,c01,c12,15217,shipping,2
2026-01-19,19,c05,c06,6956,shipping,1
2026-01-19,19,c05,c11,44306,goods,3
2026-01-19,19,c05,c09,22954,materials,3
2026-01-19,19,c07,c10,19018,shipping,5
2026-01-19,19,c01,c02,3781,shipping,2
2026-01-19,19,c01,c09,8498,materials,3
2026-01-19,19,c04,c11,16707,services,2
2026-01-19,19,c09,c12,47667,shipping,1
2026-01-20,20,c01,c07,6652,goods,3
2026-01-20,20,c08,c11,30871,goods,3
2026-01-20,20,c05,c10,14758,components,4
2026-01-20,20,c01,c02,20189,materials,4
2026-01-20,20,c04,c11,4823,services,1
2026-01-20,20,c01,c09,45768,services,5
2026-01-20,20,c02,c03,2596,materials,1
2026-01-20,20,c09,c12,32535,goods,1
2026-01-20,20,c03,c08,9302,shipping,4
2026-01-21,21,c01,c07,35229,services,2
2026-01-21,21,c06,c11,40921,goods,1
2026-01-21,21,c05,c06,16109,goods,2
2026-01-21,21,c05,c09,32571,services,3
2026-01-21,21,c08,c11,19885,materials,3
2026-01-21,21,c01,c02,5331,services,5
2026-01-21,21,c04,c11,8395,goods,1
2026-01-21,21,c02,c03,10323,goods,5
2026-01-21,21,c06,c12,49381,shipping,4
2026-01-21,21,c02,c06,45230,components,3
2026-01-21,21,c02,c11,23834,services,4
2026-01-21,21,c09,c12,28827,materials,3
2026-01-21,21,c03,c08,39689,materials,1
2026-01-22,22,c03,c07,31215,services,5
2026-01-22,22,c08,c10,30546,components,5
2026-01-22,22,c05,c06,2196,materials,5
2026-01-22,22,c05,c09,18563,goods,1
2026-01-22,22,c08,c11,35248,services,4
2026-01-22,22,c04,c11,26925,goods,1
2026-01-22,22,c06,c12,21020,goods,3
2026-01-22,22,c01,c09,18743,components,3
2026-01-22,22,c02,c06,20474,components,2
2026-01-22,22,c03,c10,2175,goods,5
2026-01-22,22,c03,c08,38020,goods,1
2026-01-23,23,c01,c07,38975,services,1
2026-01-23,23,c01,c03,40888,components,3
2026-01-23,23,c05,c06,20048,components,1
2026-01-23,23,c02,c08,32429,shipping,2
2026-01-23,23,c05,c09,8456,services,5
2026-01-23,23,c09,c11,31284,shipping,4
2026-01-23,23,c11,c12,47935,materials,1
2026-01-23,23,c02,c03,35980,services,3
2026-01-23,23,c01,c09,8923,components,2
2026-01-23,23,c06,c12,44914,services,4
2026-01-23,23,c04,c11,3840,services,1
2026-01-23,23,c07,c10,41910,components,5
2026-01-23,23,c09,c12,41131,components,4
2026-01-24,24,c01,c07,29438,components,3
2026-01-24,24,c06,c11,27090,services,4
2026-01-24,24,c05,c06,15254,shipping,5
2026-01-24,24,c05,c09,36350,goods,3
2026-01-24,24,c09,c11,22345,components,5
2026-01-24,24,c08,c11,33083,shipping,1
2026-01-24,24,c06,c08,2408,shipping,2
2026-01-24,24,c07,c10,22993,materials,3
2026-01-24,24,c01,c02,15319,goods,1
2026-01-24,24,c01,c09,33986,shipping,4
2026-01-24,24,c06,c12,6020,materials,5
2026-01-24,24,c03,c08,26682,components,5
2026-01-25,25,c01,c07,10713,services,2
2026-01-25,25,c05,c06,38413,goods,4
2026-01-25,25,c05,c09,41898,materials,3
2026-01-25,25,c09,c11,44704,goods,3
2026-01-25,25,c08,c11,30596,goods,5
2026-01-25,25,c01,c02,9126,components,1
2026-01-25,25,c04,c11,41365,goods,1
2026-01-25,25,c06,c07,13065,shipping,4
2026-01-25,25,c07,c10,28145,components,2
2026-01-25,25,c03,c10,36503,services,1
2026-01-25,25,c09,c12,4993,goods,1
2026-01-25,25,c03,c08,18827,components,4
2026-01-26,26,c01,c07,31331,goods,1
2026-01-26,26,c07,c11,8294,shipping,2
2026-01-26,26,c05,c09,4200,services,2
2026-01-26,26,c08,c11,32383,components,3
2026-01-26,26,c07,c10,40710,services,1
2026-01-26,26,c01,c02,9068,components,5
2026-01-26,26,c04,c11,37529,components,2
2026-01-26,26,c06,c12,46970,shipping,1
2026-01-26,26,c02,c03,28715,goods,3
2026-01-26,26,c04,c06,4095,services,2
2026-01-26,26,c02,c11,46127,shipping,4
2026-01-27,27,c05,c06,12417,goods,3
2026-01-27,27,c05,c09,22799,shipping,1
2026-01-27,27,c08,c11,24878,goods,3
2026-01-27,27,c01,c02,8279,goods,3
2026-01-27,27,c07,c10,5718,goods,5
2026-01-27,27,c06,c12,35708,materials,4
2026-01-27,27,c02,c07,49183,materials,3
2026-01-27,27,c09,c12,42809,services,1
2026-01-27,27,c03,c08,32597,goods,5
2026-01-28,28,c01,c07,12293,materials,1
2026-01-28,28,c05,c06,15248,components,4
2026-01-28,28,c05,c09,13106,shipping,2
2026-01-28,28,c08,c11,23698,goods,1
2026-01-28,28,c01,c02,34128,goods,5
2026-01-28,28,c01,c09,39222,components,3
2026-01-28,28,c06,c12,11582,materials,3
2026-01-28,28,c02,c03,29847,materials,1
2026-01-28,28,c07,c10,46305,shipping,1
2026-01-28,28,c03,c09,35369,shipping,2
2026-01-29,29,c05,c07,48197,materials,4
2026-01-29,29,c05,c06,6636,goods,2
2026-01-29,29,c08,c11,44329,services,2
2026-01-29,29,c01,c02,38860,goods,1
2026-01-29,29,c04,c11,40163,services,3
2026-01-29,29,c02,c03,24972,materials,5
2026-01-29,29,c06,c12,49494,services,4
2026-01-29,29,c07,c10,4662,components,3
2026-01-29,29,c05,c08,14410,services,1
2026-01-29,29,c09,c12,19575,services,2
2026-01-29,29,c03,c08,29227,goods,2
2026-01-30,30,c01,c03,22116,shipping,5
2026-01-30,30,c05,c06,45075,shipping,3
2026-01-30,30,c04,c10,11290,shipping,3
2026-01-30,30,c05,c09,17845,goods,4
2026-01-30,30,c04,c07,32760,goods,3
2026-01-30,30,c04,c12,47698,goods,5
2026-01-30,30,c08,c11,48055,components,2
2026-01-30,30,c01,c02,5944,goods,2
2026-01-30,30,c04,c11,36611,materials,5
2026-01-30,30,c01,c09,42332,shipping,2
2026-01-30,30,c02,c03,31356,components,2
2026-01-30,30,c06,c12,34003,services,3
2026-01-30,30,c09,c12,38530,shipping,3
2026-01-31,31,c01,c07,24768,shipping,4
2026-01-31,31,c05,c06,35604,services,3
2026-01-31,31,c05,c09,19103,services,1
2026-01-31,31,c08,c11,3144,goods,2
2026-01-31,31,c05,c10,13827,goods,2
2026-01-31,31,c07,c10,17920,components,4
2026-01-31,31,c01,c09,35256,services,5
2026-01-31,31,c09,c12,46487,materials,2
2026-01-31,31,c03,c08,24568,components,4
2026-02-01,32,c01,c07,29828,shipping,2
2026-02-01,32,c04,c05,26324,services,5
2026-02-01,32,c05,c06,26149,shipping,2
2026-02-01,32,c08,c12,4404,components,2
2026-02-01,32,c08,c11,22905,services,3
2026-02-01,32,c01,c02,2471,shipping,3
2026-02-01,32,c04,c11,47637,components,5
2026-02-01,32,c02,c03,40976,materials,1
2026-02-01,32,c06,c12,48964,shipping,1
2026-02-01,32,c07,c10,49746,shipping,3
2026-02-01,32,c05,c08,48287,goods,4
2026-02-01,32,c09,c12,25726,goods,1
2026-02-01,32,c03,c08,27103,services,4
2026-02-02,33,c01,c07,18082,materials,2
2026-02-02,33,c04,c08,19985,components,4
2026-02-02,33,c01,c05,42617,services,3
2026-02-02,33,c08,c12,25711,components,5
2026-02-02,33,c08,c11,20770,services,1
2026-02-02,33,c05,c10,4722,goods,3
2026-02-02,33,c01,c02,24448,components,5
2026-02-02,33,c04,c11,4584,services,5
2026-02-02,33,c01,c09,34452,shipping,2
2026-02-02,33,c06,c12,49049,shipping,5
2026-02-02,33,c02,c03,44149,services,4
2026-02-02,33,c09,c12,47399,services,2
2026-02-03,34,c01,c07,8251,materials,2
2026-02-03,34,c07,c11,26207,services,4
2026-02-03,34,c02,c08,8028,materials,1
2026-02-03,34,c05,c09,2114,materials,3
2026-02-03,34,c08,c11,23227,services,4
2026-02-03,34,c07,c10,29894,materials,2
2026-02-03,34,c04,c11,28682,components,3
2026-02-03,34,c06,c12,23024,materials,3
2026-02-03,34,c03,c08,14310,goods,4
2026-02-04,35,c01,c07,14058,materials,5
2026-02-04,35,c01,c12,9547,components,3
2026-02-04,35,c03,c07,28973,materials,4
2026-02-04,35,c05,c06,14863,materials,5
2026-02-04,35,c05,c09,20493,components,4
2026-02-04,35,c08,c11,34853,shipping,3
2026-02-04,35,c01,c02,19009,materials,4
2026-02-04,35,c04,c11,31276,shipping,1
2026-02-04,35,c01,c09,26714,materials,3
2026-02-04,35,c02,c03,2580,services,4
2026-02-04,35,c07,c10,4055,shipping,3
2026-02-04,35,c06,c07,24376,shipping,2
2026-02-04,35,c02,c06,26976,services,2
2026-02-04,35,c08,c09,38714,materials,3
2026-02-04,35,c09,c12,3669,shipping,1
2026-02-04,35,c03,c08,30836,materials,2
2026-02-05,36,c01,c12,4008,goods,5
2026-02-05,36,c02,c09,42289,goods,4
2026-02-05,36,c08,c11,12363,shipping,2
2026-02-05,36,c07,c10,19549,services,2
2026-02-05,36,c02,c03,33460,shipping,1
2026-02-05,36,c04,c11,35393,components,3
2026-02-05,36,c03,c09,26074,services,3
2026-02-05,36,c03,c08,35639,shipping,4
2026-02-06,37,c01,c07,24431,components,1
2026-02-06,37,c03,c12,47567,shipping,2
2026-02-06,37,c05,c06,39585,goods,4
2026-02-06,37,c05,c09,19106,materials,2
2026-02-06,37,c07,c08,10649,goods,1
2026-02-06,37,c08,c11,12959,services,4
2026-02-06,37,c11,c12,43940,components,4
2026-02-06,37,c01,c02,20842,services,5
2026-02-06,37,c04,c11,39054,goods,1
2026-02-06,37,c02,c03,40544,services,5
2026-02-06,37,c06,c12,3388,services,2
2026-02-06,37,c07,c10,7881,services,2
2026-02-06,37,c03,c10,35266,shipping,4
2026-02-06,37,c03,c08,30412,shipping,1
2026-02-07,38,c01,c07,25789,shipping,5
2026-02-07,38,c05,c06,12299,materials,5
2026-02-07,38,c05,c11,30344,services,3
2026-02-07,38,c06,c09,26378,shipping,4
2026-02-07,38,c03,c04,14832,materials,2
2026-02-07,38,c05,c09,6813,materials,5
2026-02-07,38,c08,c11,3986,goods,2
2026-02-07,38,c02,c03,16628,materials,1
2026-02-07,38,c01,c09,2480,shipping,2
2026-02-07,38,c06,c12,3341,shipping,4
2026-02-07,38,c07,c10,24427,goods,2
2026-02-07,38,c01,c10,3804,services,5
2026-02-07,38,c03,c08,21799,components,2
2026-02-08,39,c01,c07,35194,shipping,3
2026-02-08,39,c03,c12,33665,services,3
