date,city,country,temperature_c,humidity_pct,wind_speed_mps,pressure_hpa,precipitation_mm
2025-01-01,New York,USA,-5.8,78.1,8.5,1020.0,0
2025-01-01,London,UK,2.6,78.9,4.8,1009.2,0
2025-01-01,Tokyo,Japan,-2.5,71.8,5.1,999.2,0
2025-01-01,Singapore,Singapore,26.8,94.3,4.4,1015.0,2.5
2025-01-01,Sydney,Australia,5.6,74.1,6.1,1022.4,0
2025-01-01,Cairo,Egypt,9.0,39.4,8.4,1019.3,0
2025-01-01,São Paulo,Brazil,15.8,74.6,3.2,1024.2,0
2025-01-01,Toronto,Canada,-5.6,75.2,2.3,1019.3,0
2025-01-02,New York,USA,-6.9,76.2,6.1,1019.3,0
2025-01-02,London,UK,7.0,90.4,4.6,1017.2,0
2025-01-02,Tokyo,Japan,5.3,80.7,5.9,1023.1,0
2025-01-02,Singapore,Singapore,21.2,79.0,4.1,1009.4,0
2025-01-02,Sydney,Australia,8.6,64.0,5.1,1014.3,0
2025-01-02,Cairo,Egypt,3.2,65.5,8.8,1015.1,0
2025-01-02,São Paulo,Brazil,15.1,85.7,2.9,1025.0,0
2025-01-02,Toronto,Canada,-13.2,79.1,4.8,1027.8,0
2025-01-03,New York,USA,-7.5,66.3,9.7,1015.8,0
2025-01-03,London,UK,1.1,88.0,6.9,1006.5,0
2025-01-03,Tokyo,Japan,0.2,76.8,6.3,1011.4,0
2025-01-03,Singapore,Singapore,26.3,80.1,4.1,1004.6,0
2025-01-03,Sydney,Australia,13.6,71.7,3.3,1024.4,0
2025-01-03,Cairo,Egypt,7.3,44.7,0,1018.8,0
2025-01-03,São Paulo,Brazil,8.2,89.2,4.9,1016.1,0
2025-01-03,Toronto,Canada,-12.5,87.0,8.7,1025.2,0
2025-01-04,New York,USA,-8.0,95.3,5.7,1011.9,0
2025-01-04,London,UK,0.4,68.9,3.1,1005.6,2.2
2025-01-04,Tokyo,Japan,3.7,83.6,4.1,1006.7,0
2025-01-04,Singapore,Singapore,31.6,76.2,0,1007.6,0
2025-01-04,Sydney,Australia,13.1,62.2,2.5,1020.7,0
2025-01-04,Cairo,Egypt,6.0,52.9,0,1011.0,0
2025-01-04,São Paulo,Brazil,17.6,75.6,5.0,1000.9,9.9
2025-01-04,Toronto,Canada,-13.5,68.8,3.7,1017.3,0
2025-01-05,New York,USA,-11.6,73.7,9.0,1025.9,5.0
2025-01-05,London,UK,4.0,82.0,4.0,1027.2,0
2025-01-05,Tokyo,Japan,1.1,67.3,4.4,1012.6,0
2025-01-05,Singapore,Singapore,21.8,96.8,2.8,1013.3,0
2025-01-05,Sydney,Australia,14.9,54.2,4.2,1009.4,0
2025-01-05,Cairo,Egypt,7.4,44.9,4.7,1019.5,0
2025-01-05,São Paulo,Brazil,13.4,73.4,10.6,1002.9,0
2025-01-05,Toronto,Canada,-15.6,67.7,1.4,1001.5,0
2025-01-06,New York,USA,-2.3,72.0,8.3,1022.1,4.6
2025-01-06,London,UK,2.8,79.4,4.2,1017.2,5.5
2025-01-06,Tokyo,Japan,6.5,88.3,3.4,1011.1,0
2025-01-06,Singapore,Singapore,23.7,84.9,3.5,1006.2,0
2025-01-06,Sydney,Australia,10.3,71.0,3.0,1015.5,0
2025-01-06,Cairo,Egypt,14.1,56.6,4.2,1009.3,0
2025-01-06,São Paulo,Brazil,17.6,73.7,2.9,1011.1,11.5
2025-01-06,Toronto,Canada,-8.1,85.9,5.6,1011.9,0
2025-01-07,New York,USA,-4.0,74.3,8.4,1018.5,0
2025-01-07,London,UK,2.7,93.6,3.2,1007.3,0
2025-01-07,Tokyo,Japan,3.1,83.4,6.9,996.3,2.5
2025-01-07,Singapore,Singapore,30.6,76.6,4.5,990.2,0
2025-01-07,Sydney,Australia,9.6,55.4,8.9,1007.2,8.7
2025-01-07,Cairo,Egypt,6.9,46.8,4.7,1006.3,0
2025-01-07,São Paulo,Brazil,15.6,75.9,5.0,1014.3,0
2025-01-07,Toronto,Canada,-11.8,87.4,5.2,1014.4,0
2025-01-08,New York,USA,-11.2,69.1,1.1,1020.7,3.5
2025-01-08,London,UK,3.3,86.4,4.1,1002.9,0
2025-01-08,Tokyo,Japan,1.9,68.7,3.1,999.9,2.8
2025-01-08,Singapore,Singapore,26.6,86.0,4.9,1009.5,2.0
2025-01-08,Sydney,Australia,15.4,58.0,9.2,1025.9,0
2025-01-08,Cairo,Egypt,13.8,55.3,5.7,1022.3,0
2025-01-08,São Paulo,Brazil,14.8,76.7,0,1025.3,0
2025-01-08,Toronto,Canada,-9.7,82.4,2.4,1018.7,0
2025-01-09,New York,USA,-7.0,78.0,4.7,1008.1,0
2025-01-09,London,UK,6.4,86.8,7.3,1009.9,0
2025-01-09,Tokyo,Japan,3.6,73.2,3.4,1006.6,0
2025-01-09,Singapore,Singapore,28.1,68.0,3.6,1006.1,6.8
2025-01-09,Sydney,Australia,14.7,55.5,7.0,1015.3,0
2025-01-09,Cairo,Egypt,10.8,47.0,4.0,1003.0,0
2025-01-09,São Paulo,Brazil,8.9,73.3,8.2,1012.0,0
2025-01-09,Toronto,Canada,-12.5,78.2,4.7,1012.1,0
2025-01-10,New York,USA,-6.2,78.4,7.1,1012.6,0
2025-01-10,London,UK,10.2,85.3,5.2,1014.6,6.0
2025-01-10,Tokyo,Japan,1.7,92.8,2.1,1010.1,9.6
2025-01-10,Singapore,Singapore,28.1,86.0,1.9,1011.8,0
2025-01-10,Sydney,Australia,8.1,60.2,4.4,1012.9,0
2025-01-10,Cairo,Egypt,7.7,42.9,1.7,1010.9,0
2025-01-10,São Paulo,Brazil,12.4,73.2,2.3,1016.5,0
2025-01-10,Toronto,Canada,-10.0,78.3,4.6,1024.3,0
2025-01-11,New York,USA,-7.2,85.1,5.9,1023.6,0
2025-01-11,London,UK,1.2,79.2,6.2,1009.0,0
2025-01-11,Tokyo,Japan,2.5,79.8,1.5,1012.7,0
2025-01-11,Singapore,Singapore,21.2,89.5,6.8,1018.6,0
2025-01-11,Sydney,Australia,7.3,63.0,6.0,1010.9,0
2025-01-11,Cairo,Egypt,6.9,46.9,6.9,1012.4,0
2025-01-11,São Paulo,Brazil,13.2,84.0,4.9,1006.2,0
2025-01-11,Toronto,Canada,-8.7,80.9,5.1,1014.3,0
2025-01-12,New York,USA,-3.8,94.5,10.4,1021.0,0
2025-01-12,London,UK,6.6,90.6,5.6,1015.6,0
2025-01-12,Tokyo,Japan,1.5,82.0,0.9,1014.1,11.5
2025-01-12,Singapore,Singapore,25.2,93.9,0,1008.2,0
2025-01-12,Sydney,Australia,9.2,64.5,3.7,1015.5,0
2025-01-12,Cairo,Egypt,2.5,56.3,5.9,1007.6,0
2025-01-12,São Paulo,Brazil,14.1,84.1,3.8,1018.5,0
2025-01-12,Toronto,Canada,-11.0,78.9,7.3,1011.7,0
2025-01-13,New York,USA,-5.8,74.0,5.1,1013.5,0
2025-01-13,London,UK,-1.6,91.6,7.3,1009.5,6.7
2025-01-13,Tokyo,Japan,3.2,73.9,4.1,1013.9,4.7
